archive_port,group,pv_name,category
4813,LBEC-SOL32,LBEC-SOL32:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-SOL32,LBEC-SOL32:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-SOL32,LBEC-SOL32:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-VIDE,LBEC-EV3-VA:State,Vacuum
4813,LBEC-VIDE,LBEC-EV3-VI:State,Vacuum
4813,LBEC-VIDE,LBEC-EV3-VP:State,Vacuum
4813,LBEC-VIDE,LBEC-EV3:JP1Mes,Vacuum
4813,LBEC-VIDE,LBEC-EV3:JP2Mes,Vacuum
4813,LBEC-VIDE,LBEC-EV3:JS1Mes,Vacuum
4813,LBEC-VIDE,LBEC-EV3:JS2Mes,Vacuum
4813,VXSTAT,iocVMELBC:caChannels,Vacuum station status
4813,VXSTAT,iocVMELBC:caClients,Vacuum station status
4813,VXSTAT,iocVMELBC:caLinksDiscon,Vacuum station status
4813,VXSTAT,iocVMELBC:cpuUsedPercent,Vacuum station status
4813,VXSTAT,iocVMELBC:fdUsedPercent,Vacuum station status
4813,VXSTAT,iocVMELBC:memoryUsedPercent,Vacuum station status
4814,Alimentations,LBE1-D11:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-D11:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-D11:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-D11:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC11-HO:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC11-HO:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC11-HO:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC11-HO:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC12-VE:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC12-VE:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC12-VE:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC12-VE:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC13-HO:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC13-HO:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC13-HO:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC13-HO:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC16-VE:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC16-VE:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-DC16-VE:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-HX11:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-HX11:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-HX11:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-HX11:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q11:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q11:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q11:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q11:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q12:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q12:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q12:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q12:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q13:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q13:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q13:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-Q13:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-SOL11:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-SOL11:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-SOL11:IRampAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Alimentations,LBE1-SOL11:IRampCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Fentes,LBE1-FH13-D:PosLec,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,Fentes,LBE1-FH13-G:PosLec,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,LBE1-CF11,LBE1-CF11-FAST:IMesCret,Vacuum
4814,LBE1-CF11,LBE1-CF11-SURV:IMeanHardMes,Vacuum
4814,LBE1-CF11,LBE1-CF11:IMes,Vacuum
4814,LBE1-CF13,LBE1-CF13-FAST:IMesCret,Vacuum
4814,LBE1-CF13,LBE1-CF13-SURV:IMeanHardMes,Vacuum
4814,LBE1-CF13,LBE1-CF13:IMes,Vacuum
4814,LBE1-DIAGS,LBE1-D11-HALL:BMesCret,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,LBE1-DIAGS,SI1-ECHANT:PosAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,LBE1-SI1-GAZ-ET-PRESSION,SI1-GAZ1:VCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,LBE1-SI1-GAZ-ET-PRESSION,SI1-GAZ2:VCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,LBE1-SI1-GAZ-ET-PRESSION,SI1-PI-FAST:PMesCret,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,LBE1-SI1-GAZ-ET-PRESSION,SI1-PR-FAST:PMesCret,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,LBE1-SI1-TURBO,LBE1-EV1-GT11:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT11:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT12:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT12:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT13:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT13:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT14:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT14:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT15:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV1-GT15:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT21:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT21:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT22:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT22:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT24:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT24:Temp,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT25:Pwd,Vacuum
4814,LBE1-SI1-TURBO,LBE1-EV2-GT25:Temp,Vacuum
4814,LBE1-SI1-TURBO,SI1-GT:Pwd,Vacuum
4814,LBE1-SI1-TURBO,SI1-GT:Temp,Vacuum
4814,LBE1-VIDE,LBE1-EV1-VA:State,Vacuum
4814,LBE1-VIDE,LBE1-EV1-VI11:State,Vacuum
4814,LBE1-VIDE,LBE1-EV1-VP:State,Vacuum
4814,LBE1-VIDE,LBE1-EV1:JP1Mes,Vacuum
4814,LBE1-VIDE,LBE1-EV1:JP3Mes,Vacuum
4814,LBE1-VIDE,LBE1-EV1:JS1Mes,Vacuum
4814,LBE1-VIDE,LBE1-EV1:JS3Mes,Vacuum
4814,LBE1-VIDE,LBE1-EV2-VA:State,Vacuum
4814,LBE1-VIDE,LBE1-EV2-VI12:State,Vacuum
4814,LBE1-VIDE,LBE1-EV2-VP:State,Vacuum
4814,LBE1-VIDE,LBE1-EV2:JP1Mes,Vacuum
4814,LBE1-VIDE,LBE1-EV2:JP2Mes,Vacuum
4814,LBE1-VIDE,LBE1-EV2:JS1Mes,Vacuum
4814,LBE1-VIDE,LBE1-EV2:JS2Mes,Vacuum
4814,SI1-BPE,SI1-BPE:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPE,SI1-BPE:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPE,SI1-BPE:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPE,SI1-BPE:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPI,SI1-BPI:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPI,SI1-BPI:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPI,SI1-BPI:ICons,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPI,SI1-BPI:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-BPM,SI1-BPM:Pwr,BPM (beam position monitor)
4814,SI1-BPM,SI1-BPM:IAct,BPM (beam position monitor)
4814,SI1-BPM,SI1-BPM:ICons,BPM (beam position monitor)
4814,SI1-BPM,SI1-BPM:Pwr,BPM (beam position monitor)
4814,SI1-FOUR,SI1-FOUR:OnAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-FOUR,SI1-FOUR:IMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-FOUR,SI1-FOUR:OnAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-FOUR,SI1-FOUR:PMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-FOUR,SI1-FOUR:TMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-FOUR,SI1-FOUR:VAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-FOUR,SI1-FOUR:VMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-HT,SI1-HT:Pwr,Source HV power supply
4814,SI1-HT,SI1-HT-FAST:IMesCret,Source HV power supply
4814,SI1-HT,SI1-HT-FAST:VMesCret,Source HV power supply
4814,SI1-HT,SI1-HT:IMes,Source HV power supply
4814,SI1-HT,SI1-HT:Pwr,Source HV power supply
4814,SI1-HT,SI1-HT:VAct,Source HV power supply
4814,SI1-HT,SI1-HT:VCons,Source HV power supply
4814,SI1-HT,SI1-KLYS:PHFAct,Source HV power supply
4814,SI1-HT-RE,SI1-HT-RE:Pwr,Source HV power supply
4814,SI1-HT-RE,SI1-HT-RE:IMes,Source HV power supply
4814,SI1-HT-RE,SI1-HT-RE:Pwr,Source HV power supply
4814,SI1-HT-RE,SI1-HT-RE:VAct,Source HV power supply
4814,SI1-KLYS,SI1:Stat3.BB,Source RF (klystron)
4814,SI1-KLYS,SI1-KLYS:PIMes,Source RF (klystron)
4814,SI1-KLYS,SI1-KLYS:PRMes,Source RF (klystron)
4814,SI1-KLYS,SI1:Stat3.BB,Source RF (klystron)
4814,SI1-POLAR,SI1-POLAR:OnAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-POLAR,SI1-POLAR:IMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-POLAR,SI1-POLAR:OnAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-POLAR,SI1-POLAR:VAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,SI1-POLAR,SI1-POLAR:VMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4814,VXSTAT,iocVMELB1:caChannels,Vacuum station status
4814,VXSTAT,iocVMELB1:caClients,Vacuum station status
4814,VXSTAT,iocVMELB1:caLinksDiscon,Vacuum station status
4814,VXSTAT,iocVMELB1:cpuUsedPercent,Vacuum station status
4814,VXSTAT,iocVMELB1:fdUsedPercent,Vacuum station status
4814,VXSTAT,iocVMELB1:memoryUsedPercent,Vacuum station status
4815,SLAAF,LHE1-ACCT11-FAST:IFaMesCret,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-ACCT11-FAST:IFoMesCret,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-ACCT11:IMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-ACCT12-FAST:IFaMesCret,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-ACCT12-FAST:IFoMesCret,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-ACCT12:IMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-DCCT11-FAST:IMesCret,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-DCCT11:IMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-DCCT12-FAST:IMesCret,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-DCCT12:IMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:ACCTEcartMax,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:ACCTEcartMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:ACCTIBeamMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:ACCTNbPMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:DCCTEcartMax,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:DCCTEcartMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:DCCTIBeamMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:DCCTNbPMes,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:IBeamSurv,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:IntegraleSurv,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:ModeAcquisition,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:ModeIrradiation,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:NbPSurv,Beam current diagnostic (ACCT/DCCT)
4815,SLAAF,LHE1-SLAAF:PourcentageSurv,Beam current diagnostic (ACCT/DCCT)
4816,ECSF,ECSF:DdeCRFQ,Source control & interlock (ECS)
4816,ECSF,ECSF:DdeCSPMT,Source control & interlock (ECS)
4816,ECSF,ECSF:DftECSF,Source control & interlock (ECS)
4816,ECSF,ECSF:DftHacheur,Source control & interlock (ECS)
4816,ECSF,ECSF:InputIntlk,Source control & interlock (ECS)
4816,ECSF,ECSF:SClMes,Source control & interlock (ECS)
4816,ECSF,ECSF:TSGnAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSGState,Source control & interlock (ECS)
4816,ECSF,ECSF:TSHlAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSHrAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSHState,Source control & interlock (ECS)
4816,ECSF,ECSF:TSR1Act,Source control & interlock (ECS)
4816,ECSF,ECSF:TSR2Act,Source control & interlock (ECS)
4816,ECSF,ECSF:TSRAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSRlAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSRrAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSRState,Source control & interlock (ECS)
4816,ECSF,ECSF:TSS1lAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSS1State,Source control & interlock (ECS)
4816,ECSF,ECSF:TSS2AAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSS2lAct,Source control & interlock (ECS)
4816,ECSF,ECSF:TSS2State,Source control & interlock (ECS)
4816,ECSF,SP2-ECSF-INTLK:CUAct,Source control & interlock (ECS)
4816,LME-ACCT21,LME-ACCT21-FAST:IFaMesCret,Beam current diagnostic (ACCT/DCCT)
4816,LME-ACCT21,LME-ACCT21-FAST:IFoMesCret,Beam current diagnostic (ACCT/DCCT)
4816,LME-ACCT21,LME-ACCT21-FAST:IMesCret,Beam current diagnostic (ACCT/DCCT)
4816,LME-ACCT21,LME-ACCT21-SURV:ICptHard1Mes,Beam current diagnostic (ACCT/DCCT)
4816,LME-ACCT21,LME-ACCT21:IMes,Beam current diagnostic (ACCT/DCCT)
4816,LME-CF21,LME-CF21-FAST:IMesCret,Vacuum
4816,LME-CF21,LME-CF21-SURV:IMeanHardMes,Vacuum
4816,LME-CF21,LME-CF21BO-SURV:IMeanHardMes,Vacuum
4816,LME-DCCT21,LME-DCCT21-FAST:IMesCret,Beam current diagnostic (ACCT/DCCT)
4816,LME-DCCT21,LME-DCCT21-SURV:ICptHard1Mes,Beam current diagnostic (ACCT/DCCT)
4816,LME-DCCT21,LME-DCCT21:IMes,Beam current diagnostic (ACCT/DCCT)
4816,LME-DCCTDIFF,LME-DCCTDIFF-FAST:IMesCret,Beam current diagnostic (ACCT/DCCT)
4816,LME-DCCTDIFF,LME-DCCTDIFF-SURV:ICptHard1Mes,Beam current diagnostic (ACCT/DCCT)
4816,LME-DCCTDIFF,LME-DCCTDIFF-SURV:ICptSoft4Mes,Beam current diagnostic (ACCT/DCCT)
4816,LME-FH21,LME-FH21D-SURV:IMeanHardMes,Other/unclassified — needs manual check
4816,LME-FH21,LME-FH21G-SURV:IMeanHardMes,Other/unclassified — needs manual check
4816,LME-FH21,LME-FV21B-SURV:IMeanHardMes,Other/unclassified — needs manual check
4816,LME-FH21,LME-FV21H-SURV:IMeanHardMes,Other/unclassified — needs manual check
4816,LME-FH22,LME-FH22D-SURV:IMeanHardMes,Other/unclassified — needs manual check
